filename,width,height,class,xmin,ymin,xmax,ymax
ST_20190917_SPTHAZE_5120715_jpg.rf.09fb2eecb2449a63f1f239f5fbb713aa.jpg,416,416,mask,336,71,402,121
ST_20190917_SPTHAZE_5120715_jpg.rf.09fb2eecb2449a63f1f239f5fbb713aa.jpg,416,416,mask,245,69,294,121
ST_20190917_SPTHAZE_5120715_jpg.rf.09fb2eecb2449a63f1f239f5fbb713aa.jpg,416,416,mask,161,69,209,121
ST_20190917_SPTHAZE_5120715_jpg.rf.09fb2eecb2449a63f1f239f5fbb713aa.jpg,416,416,mask,140,128,216,214
ST_20190917_SPTHAZE_5120715_jpg.rf.09fb2eecb2449a63f1f239f5fbb713aa.jpg,416,416,mask,275,129,345,211
ST_20190917_SPTHAZE_5120715_jpg.rf.09fb2eecb2449a63f1f239f5fbb713aa.jpg,416,416,mask,83,225,257,343
ST_20190917_SPTHAZE_5120715_jpg.rf.09fb2eecb2449a63f1f239f5fbb713aa.jpg,416,416,mask,16,84,99,195
sdsdsff_jpg.rf.09e108ae66cf64a3e852ba71cd079040.jpg,416,416,mask,312,121,355,171
sdsdsff_jpg.rf.09e108ae66cf64a3e852ba71cd079040.jpg,416,416,mask,247,125,297,173
sdsdsff_jpg.rf.09e108ae66cf64a3e852ba71cd079040.jpg,416,416,mask,164,136,205,182
sdsdsff_jpg.rf.09e108ae66cf64a3e852ba71cd079040.jpg,416,416,mask,90,125,125,170
sdsdsff_jpg.rf.09e108ae66cf64a3e852ba71cd079040.jpg,416,416,mask,7,133,42,175
w1240-p16x9-5f8aa310737f8e0e6c43d95a68a82b03b6f60106_jpg.rf.104bedd5b3bad4a0d0a453203e0617a3.jpg,416,416,no-mask,325,125,346,147
w1240-p16x9-5f8aa310737f8e0e6c43d95a68a82b03b6f60106_jpg.rf.104bedd5b3bad4a0d0a453203e0617a3.jpg,416,416,mask,16,115,47,155
w1240-p16x9-5f8aa310737f8e0e6c43d95a68a82b03b6f60106_jpg.rf.104bedd5b3bad4a0d0a453203e0617a3.jpg,416,416,mask,53,131,85,168
w1240-p16x9-5f8aa310737f8e0e6c43d95a68a82b03b6f60106_jpg.rf.104bedd5b3bad4a0d0a453203e0617a3.jpg,416,416,mask,110,117,133,141
w1240-p16x9-5f8aa310737f8e0e6c43d95a68a82b03b6f60106_jpg.rf.104bedd5b3bad4a0d0a453203e0617a3.jpg,416,416,mask,135,109,163,142
w1240-p16x9-5f8aa310737f8e0e6c43d95a68a82b03b6f60106_jpg.rf.104bedd5b3bad4a0d0a453203e0617a3.jpg,416,416,mask,182,126,206,154
w1240-p16x9-5f8aa310737f8e0e6c43d95a68a82b03b6f60106_jpg.rf.104bedd5b3bad4a0d0a453203e0617a3.jpg,416,416,mask,244,135,262,162
w1240-p16x9-5f8aa310737f8e0e6c43d95a68a82b03b6f60106_jpg.rf.104bedd5b3bad4a0d0a453203e0617a3.jpg,416,416,mask,378,118,405,151
w1240-p16x9-5f8aa310737f8e0e6c43d95a68a82b03b6f60106_jpg.rf.104bedd5b3bad4a0d0a453203e0617a3.jpg,416,416,mask,352,113,380,145
w1240-p16x9-5f8aa310737f8e0e6c43d95a68a82b03b6f60106_jpg.rf.104bedd5b3bad4a0d0a453203e0617a3.jpg,416,416,mask,300,115,328,149
w1240-p16x9-5f8aa310737f8e0e6c43d95a68a82b03b6f60106_jpg.rf.104bedd5b3bad4a0d0a453203e0617a3.jpg,416,416,mask,274,133,311,179
w1240-p16x9-5f8aa310737f8e0e6c43d95a68a82b03b6f60106_jpg.rf.104bedd5b3bad4a0d0a453203e0617a3.jpg,416,416,mask,255,127,289,173
w1240-p16x9-5f8aa310737f8e0e6c43d95a68a82b03b6f60106_jpg.rf.104bedd5b3bad4a0d0a453203e0617a3.jpg,416,416,mask,225,122,250,157
w1240-p16x9-5f8aa310737f8e0e6c43d95a68a82b03b6f60106_jpg.rf.104bedd5b3bad4a0d0a453203e0617a3.jpg,416,416,mask,156,128,180,157
w1240-p16x9-5f8aa310737f8e0e6c43d95a68a82b03b6f60106_jpg.rf.104bedd5b3bad4a0d0a453203e0617a3.jpg,416,416,mask,124,131,158,164
w1240-p16x9-5f8aa310737f8e0e6c43d95a68a82b03b6f60106_jpg.rf.104bedd5b3bad4a0d0a453203e0617a3.jpg,416,416,mask,164,177,201,213
w1240-p16x9-5f8aa310737f8e0e6c43d95a68a82b03b6f60106_jpg.rf.104bedd5b3bad4a0d0a453203e0617a3.jpg,416,416,mask,203,121,228,153
1580128422_jpg.rf.182b42586c5d5ea95a75c17449c48ad3.jpg,416,416,no-mask,80,210,128,266
1580128422_jpg.rf.182b42586c5d5ea95a75c17449c48ad3.jpg,416,416,mask,356,217,402,280
1580128422_jpg.rf.182b42586c5d5ea95a75c17449c48ad3.jpg,416,416,mask,308,190,345,245
1580128422_jpg.rf.182b42586c5d5ea95a75c17449c48ad3.jpg,416,416,mask,242,207,292,264
thumbnail-ba5c72edb320b49a69e86b05775c49b2-scaled-1_jpeg.rf.035d587add7bc2a6c7616d72e56bfad4.jpg,416,416,no-mask,253,120,269,141
thumbnail-ba5c72edb320b49a69e86b05775c49b2-scaled-1_jpeg.rf.035d587add7bc2a6c7616d72e56bfad4.jpg,416,416,mask,84,128,98,143
thumbnail-ba5c72edb320b49a69e86b05775c49b2-scaled-1_jpeg.rf.035d587add7bc2a6c7616d72e56bfad4.jpg,416,416,mask,371,69,412,119
thumbnail-ba5c72edb320b49a69e86b05775c49b2-scaled-1_jpeg.rf.035d587add7bc2a6c7616d72e56bfad4.jpg,416,416,mask,270,92,311,136
thumbnail-ba5c72edb320b49a69e86b05775c49b2-scaled-1_jpeg.rf.035d587add7bc2a6c7616d72e56bfad4.jpg,416,416,mask,203,87,242,131
thumbnail-ba5c72edb320b49a69e86b05775c49b2-scaled-1_jpeg.rf.035d587add7bc2a6c7616d72e56bfad4.jpg,416,416,mask,161,84,194,124
thumbnail-ba5c72edb320b49a69e86b05775c49b2-scaled-1_jpeg.rf.035d587add7bc2a6c7616d72e56bfad4.jpg,416,416,mask,104,108,134,143
thumbnail-ba5c72edb320b49a69e86b05775c49b2-scaled-1_jpeg.rf.035d587add7bc2a6c7616d72e56bfad4.jpg,416,416,mask,52,102,78,131
thumbnail-ba5c72edb320b49a69e86b05775c49b2-scaled-1_jpeg.rf.035d587add7bc2a6c7616d72e56bfad4.jpg,416,416,mask,11,105,39,134
pollution-mask-CE5HYF_jpg.rf.21d8ab9eb19a6cd10956c96a0cfeff57.jpg,416,416,mask,262,138,336,246
pollution-mask-CE5HYF_jpg.rf.21d8ab9eb19a6cd10956c96a0cfeff57.jpg,416,416,mask,156,90,270,236
US-expands-coronavirus-screenings-United-suspends-some-flights-to-China_jpg.rf.1cf554343f0453f6e0a1bd2781cebea9.jpg,416,416,no-mask,103,93,185,177
